iso3,indicator_code,year,value,notes
BHR,POP_MN,2018,1.57,
BHR,POP_MN,2019,1.64,
BHR,POP_MN,2020,1.47,
BHR,POP_MN,2021,1.46,
BHR,POP_MN,2022,1.48,
BHR,POP_MN,2023,1.50,estimate
KWT,POP_MN,2018,4.14,
KWT,POP_MN,2019,4.42,
KWT,POP_MN,2020,4.27,
KWT,POP_MN,2021,4.25,
KWT,POP_MN,2022,4.27,
KWT,POP_MN,2023,4.31,estimate
OMN,POP_MN,2018,4.83,
OMN,POP_MN,2019,4.95,
OMN,POP_MN,2020,4.45,
OMN,POP_MN,2021,4.52,
OMN,POP_MN,2022,4.58,
OMN,POP_MN,2023,4.64,estimate
QAT,POP_MN,2018,2.76,
QAT,POP_MN,2019,2.83,
QAT,POP_MN,2020,2.78,
QAT,POP_MN,2021,2.69,
QAT,POP_MN,2022,2.70,
QAT,POP_MN,2023,2.72,estimate
SAU,POP_MN,2018,33.70,
SAU,POP_MN,2019,34.27,
SAU,POP_MN,2020,35.01,
SAU,POP_MN,2021,35.95,
SAU,POP_MN,2022,36.41,
SAU,POP_MN,2023,36.95,estimate
ARE,POP_MN,2018,9.30,
ARE,POP_MN,2019,9.50,
ARE,POP_MN,2020,9.28,
ARE,POP_MN,2021,9.36,
ARE,POP_MN,2022,9.44,
ARE,POP_MN,2023,9.52,estimate
BHR,GDP_USD_BN,2018,37.8,
BHR,GDP_USD_BN,2019,38.7,
BHR,GDP_USD_BN,2020,34.7,
BHR,GDP_USD_BN,2021,38.9,
BHR,GDP_USD_BN,2022,44.4,
BHR,GDP_USD_BN,2023,43.2,estimate
KWT,GDP_USD_BN,2018,138.2,
KWT,GDP_USD_BN,2019,136.0,
KWT,GDP_USD_BN,2020,106.0,
KWT,GDP_USD_BN,2021,136.6,
KWT,GDP_USD_BN,2022,175.4,
KWT,GDP_USD_BN,2023,163.7,estimate
OMN,GDP_USD_BN,2018,91.5,
OMN,GDP_USD_BN,2019,88.1,
OMN,GDP_USD_BN,2020,76.0,
OMN,GDP_USD_BN,2021,88.2,
OMN,GDP_USD_BN,2022,114.7,
OMN,GDP_USD_BN,2023,108.3,estimate
QAT,GDP_USD_BN,2018,183.3,
QAT,GDP_USD_BN,2019,176.4,
QAT,GDP_USD_BN,2020,144.4,
QAT,GDP_USD_BN,2021,179.7,
QAT,GDP_USD_BN,2022,236.0,
QAT,GDP_USD_BN,2023,213.0,estimate
SAU,GDP_USD_BN,2018,786.5,
SAU,GDP_USD_BN,2019,793.0,
SAU,GDP_USD_BN,2020,703.4,
SAU,GDP_USD_BN,2021,868.6,
SAU,GDP_USD_BN,2022,1108.0,
SAU,GDP_USD_BN,2023,1068.0,estimate
ARE,GDP_USD_BN,2018,422.2,
ARE,GDP_USD_BN,2019,417.2,
ARE,GDP_USD_BN,2020,349.5,
ARE,GDP_USD_BN,2021,415.2,
ARE,GDP_USD_BN,2022,507.1,
ARE,GDP_USD_BN,2023,514.1,estimate
BHR,GDP_PC_USD,2018,24080,
BHR,GDP_PC_USD,2019,23598,
