iso3,indicator_code,year,value,notes
ARE,BIRTH_RATE,2000,16.314,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2001,15.978,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2002,15.779,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2003,15.647,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2004,15.115,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2005,14.343,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2006,12.292,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2007,11.127,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2008,9.999,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2009,11.083,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2010,11.249,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2011,11.372,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2012,11.678,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2013,11.819,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2014,11.471,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2015,11.02,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2016,10.747,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2017,10.661,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2018,10.248,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2019,10.094,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2020,10.465,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2021,9.279,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2022,9.295,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2023,9.774,World Bank WDI indicator SP.DYN.CBRT.IN
ARE,BIRTH_RATE,2024,9.819,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2000,20.431,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2001,19.082,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2002,19.147,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2003,19.692,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2004,19.86,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2005,19.354,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2006,18.079,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2007,16.962,World Bank WDI indicator SP.DYN.CBRT.IN
BHR,BIRTH_RATE,2008,16.186,World Bank WDI indicator SP.DYN.CBRT.IN
